filename,keyword_counts
lowyat_20170618_4329888_Liow Tiong Lai  MCA To Field 50 Percent.csv,16
lowyat_20170403_4246957_Rafizi   BN will win Terengganu  .csv,16
lowyat_20170507_4283396_Tengku Adnan   Barisan Nasional  BN  Tidak Akan.csv,16
lowyat_20170722_4366550_Tan Sri Shahrizat  Pelantikan Dr Mahathir Sebagai.csv,16
lowyat_20170124_4182610_umno Kami akan pertahan Kedah dengan kemenangan le.csv,16
lowyat_20170522_4296546_PAS  Suara Islam mesti dua pertiga di parlimen.csv,16
lowyat_20170726_4370479_Rafizi Ramli need RM300 000.csv,16
lowyat_20170609_4319581_PPBM wants to lead PH.csv,16
lowyat_20170801_4375033_Liow  DAP An Opportunistic Party Lacking Principle.csv,16
lowyat_20170509_4285299_ Calon PM kita akan lebih baik dari Najib .csv,16
lowyat_20170609_4320513_Najib to remove Mohd Isa.csv,16
lowyat_20170116_4176007_BN Demands Walkover For Adenan s Seat.csv,16
lowyat_20170330_4242278_BN tidak akan bentang pindaan RUU 355 .csv,16
lowyat_20170724_4368640_How long PH will exist .csv,16
lowyat_20170417_4268045_Najib  Don t vote those who don t want Islam.csv,15
lowyat_20170403_4246257_Umno offers friendship after state PAS cut.csv,15
lowyat_20170702_4345409_Tinjauan Utusan  DAP Jadikan Rumah Terbuka.csv,15
lowyat_20170330_4242587_PAS proceed with Hadi s Bill.csv,15
lowyat_20170712_4356351_SG Gov can change Constitution w o vote .csv,15
lowyat_20170423_4273160_PKR  PPBM and PAN should unite  else sure problem.csv,15
lowyat_20170519_4294381_ Yang saya mahu  dia berhenti   ucap Mahathir.csv,15
lowyat_20170222_4204080_PAS MP Khairuddin Aman  I ve The Right To.csv,15
lowyat_20170321_4229559_Non Muslim BN parties to meet PM on Hadi s motion.csv,15
lowyat_20170725_4369042_MCA LOSE PENANG AND SELANGOR NEGERI SEMBILAN  .csv,15
lowyat_20170419_4270624_Activists slam Wan Azizah over support for Erdogan.csv,15
lowyat_20170222_4204417_Sanusi Junid  Lim Kit Siang Pengkhianat Negara .csv,15
lowyat_20170402_4245739_MCA not leaving BN  condemns fake news.csv,15
lowyat_20170301_4210439_Mohd Amar  Tak Mustahil Pas Rampas Malaysia.csv,15
lowyat_20170312_4220678_Oust Najib to block Hadi s bill.csv,15
lowyat_20170605_4313444_MCA tells Pakatan to stop misleading people.csv,15
lowyat_20170319_4227856_Pakatan Harapan Sarawak Formed Today.csv,15
lowyat_20170618_4329906_More Items to Collect GST 1st July.csv,15
lowyat_20170413_4265420_Guan Eng Tells Hadi Awang  Show Proof DAP.csv,15
lowyat_20170326_4235657_PAS Subang ikrar tunjuk pintu keluar pada Azmin.csv,15
lowyat_20170313_4221932_MCA Liow  Dasar Kuku Besi DAP Punca Ahli Keluar.csv,15
lowyat_20170718_4362804_Pakatan can build better MRT line for cheaper.csv,15
lowyat_20170516_4292166_PERKASA khuatir komunisme menyusup.csv,15
lowyat_20170613_4324927_PKR Voon  Sarawak MPs Who Voted Against.csv,15
lowyat_20170213_4195952_ RPK  Toxic Mahathir and LKS explode when combined.csv,15
lowyat_20170326_4238381_My most respectable DAP leader .csv,15
lowyat_20170308_4217042_Video Panas Tokoh2 DAP.csv,15
lowyat_20170612_4322163_BN  With Its Increa sing Debts  Penang Set To.csv,15
lowyat_20170309_4218149_PKR MP  How Many Spies.csv,15
lowyat_20170201_4187446_PAS And PPBM  Agree On  Political Cooperation  For.csv,15
lowyat_20170723_4367396_I thought Tun Mahathir very good .csv,14
lowyat_20170410_4258566_PM Leads BN Top Brass In Retreat To.csv,14
lowyat_20170315_4223960_ Chicken s     Pondan   DAP MP.csv,14
lowyat_20170410_4259510_Amanah please contest in all Kelantan DUN.csv,14
lowyat_20170327_4239370_ Mkini Takkan ada BN 2 0 dalam HARAPAN  kata DAP.csv,14
lowyat_20170711_4354726_No doubt  MRT is the biggest legacy of PM Najib.csv,14
lowyat_20170103_4164793_Sarawak DAP Leader  Fuel Price Hike Shows.csv,14
lowyat_20170311_4220376_DAP s  naughtiness  strengthened PAS.csv,14
lowyat_20170716_4361639_Salleh Keruak  Pakatan s Dream Of Taking Over.csv,14
lowyat_20170411_4263049_PAS protests Nanyang  wants paper closed down.csv,14
lowyat_20170724_4368130_Tajuddin reminds of  DAP gov t  dangers.csv,14
lowyat_20170415_4266591_Do you know that UMNO contest in SG as well .csv,14
lowyat_20170115_4175464_MB Selangor  PKR keluar suppork Pasukan Merah.csv,14
lowyat_20170310_4218639_Nice haul by MACC.csv,14
lowyat_20170413_4265717_PAS yakin bentuk kerajaan di Perak.csv,14
lowyat_20170322_4231176_Guan Eng  Jika PAS Ingin Bersama Umno .csv,14
lowyat_20170714_4358652_ROS   DAP.csv,14
lowyat_20170328_4240463_Muhyiddin  Kerusi Mahu Ditandingi Oleh PPBM.csv,14
